Item,Price
Gimme  - Seaweed Snacks - Teriyaki,3.00
GGE Wheat Crackers  - Soy Sauce Flavor,-1
GGE Wheat Crackers  - Seaweed Flavor,-1
GGE Wheat Crackers  - BBQ Flavor,-1
GGE Wheat Crackers - Hot Chili Flavor,-1
Babystar - Crispy Ramen Snack - Garlic Flavor ,3.75
Three Framers - Fava Beans - Sea Salt,6.45
Three Framers - Fava Beans - Sweet Chili,6.45
Planters - Trail Mix - Nuts & Chocolate,2
Planters - Trail Mix - Nuts & Tropical Fruit ,2
"Love, Corn - Sea Salt",3.35
"Love, Corn - Smoked bbq",3.35
Orchard Valley Harvest - Nuts Snack ,2.5
Orchard Valley Harvest - Nuts Snack ,2.5
Sahale - Trail Mix - Honey Almonds  (1.5 OZ),2.8
Sahale - Trail Mix - Fruit & Nut (1.5 OZ),2.8
Sahale - Trail Mix - Pomegranate Vanilla Flavored Cashews (1.5 OZ),2.8
Sahale - Trail Mix - Pomegranate Vanilla Flavored Cashews (4 OZ),7.3
Sahale - Trail Mix - Pomegranate Flavored Pistachios (4 OZ),7.3
Pipcorn - Sea Salt Mini Popcorn,2.25
Pipcorn - Real Cheddar Cheese Balls,2.25
Garden Veggie Snacks - Sea Salt Veggie Straws,5
LesserEvil - Fiery Hot Popcorn,-1
LesserEvil - Oh my Gee Popcorn,-1
Popcorn Indiana  - Sweet & Salty Kettle Corn ,5
Orville Redenbacher's  - Butter Classic Popcorn,1
Hippeas - Groovy White Cheddar ,-1
Stacy’s Pita Chips  - Simply Naked,1.8
Stacy’s Pita Chips  - Parmesan & Garlic,1.8
Stacy’s Pita Chips  - Cinnamon Sugar,1.8
Vista Hermosa  - Sea Salt,8.5
Vista Hermosa  - Blue Corn,8.5
Green Mountain Gringo - Hot Salsa ,6.55
Green Mountain Gringo - Mild Salsa,6.55
Annie's - Cheddar Bunnies - Original,6.25
Cape Code - Chips - Sea Salt ,-1
Rold Gold - Prezel - Original,-1
Pirates Booty - Aged White Cheddar,-1
The Good Crisp Company - Outback BBQ -- Large,5
Mavuno Harvest - Dried Organic Jackfruit,4.2
Mavuno Harvest - Dried Organic Coconut,4.2
Mamma Chia - Chia Squeeze - Green Magic,3
Mamma Chia - Chia Squeeze - Strawberry Banana,3
Mamma Chia - Chia Squeeze - Wild Raspberry,3
Mamma Chia - Chia Squeeze - Blackberry Bliss,3
Noka - Superfood Smoothie - Cherry Acai,3.9
Noka - Superfood Smoothie - Mango Coconut,3.9
That's It - Fruit Bar - Apple + Blueberry,2.25
That's It - Fruit Bar - Apple + Mango,2.25
Santa Cruz - Apple Sauce,2.5
Santa Cruz - Apple Sauce,2.5
Yale - Oranges,-1
Yale - Apple,-1
Yale - Banana,-1
Oh snap -  Hottie Bites - Spicy Pickles,2.50
Oh snap  - Dilly Bites - Spicy Pickles,2.50
Cedar Snack Pack -  dark chocolate hommus with pretzels,4.20
Cedar Snack Pack  - Garlic Hommus and Chips ,4.20
Cedar Snack Pack  - Original Hommus and Chips ,4.20
Esti - tzatziki and pita chips ,5.00
Esti - Baba Ghanoush and pita chips ,5.00
Esti - Eggplant Hummus ,5.55
Rosell - String Cheese,1.00
Cabot - Cheese,1.00
Organic Valley - String Cheese,1.00
Fillo's  - Walking Tamales - bean salsa habanero,-1
Fillo's  - Walking Tamales - bean salsa verde,-1
Amy's - Snacks - Cheese Pizza,7
Amy's - Mac & Cheese,7
Amy's - Bowls - Tortellini,9
Amy's - Bowls - Country Cheddar,9
Amy's - Bowls - 3 Chese & Kale Bake,9
Amy's - Bowls - Mushroom Risotto,9
Amy's - Chese Enchilada,8.7
Amy's - Burrito,6
Evol - Teriyaki Chicken,6.7
Amy's  - Cheese Enchilada,7.5
Tropicana - Orange Juice Original (No Pulp),3
Tropicana - Cranberry Cocktail ,2.25
Tropicana  - Apple Juice ,2.25
Naked - Naked Juice Blue Machine ,5
Naked - Naked Juice Green Machine ,5
Naked - Naked Juice Strawberry Banana,5
Naked - Naked Juice Pina Colada,5
Pure Leaf - Pure Leaf Green Tea Unsweetened ,3.25
Pure Leaf - Pure Leaf Sweet Tea ,3.25
Pure Leaf - Pure Leaf Raspberry,3.25
Pure Leaf - Pure Leaf Lemon,3.25
Pure Leaf - Pure Leaf Peach,3.25
Vitamin Water  - Zero Sugar Squeezed Lemonade,3.1
Vitamin Water  - Focus Kiwi Strawberry,3.1
Vitamin Water  - Energy Tropical Citrus ,3.1
Vitamin Water  - Essential Orange-Orange,3.1
Vitamin Water  - Refresh Tropical Mango ,3.1
Vitamin Water  - Power-c Dragonfruit,3.1
Vitamin Water  - XXX Açai Blueberry Pomegranate ,3.1
Coca Cola  - Orignal Taste ,4
Coca Cola  - Diet Coke,4
Coca Cola  - Cherry Coke,4
Canada Dry - Gingerale,4
Fairlife - Lactose-Free 2% Milk,3.1
Muscle Milk - Intense Vanilla Protein Shake,-1
Muscle Milk - Strawberries 'N Creme Protein Shake,-1
Muscle Milk - Chocolate Protein Shake,-1
Starbucks - Mocha Frappuccino,4.75
Starbucks - Coffee Frappuccino,4.75
Starbucks - Vanilla Frappuccino,4.75
Starbucks - Vanilla Sweet Cream Nitro Cold Brew ,5
Gatorade - Zero Sugar Glacier Freeze ,3.5
Gatorade - Ice Punch,3.5
Gatorade - Cool Blue,3.5
Gatorade - Berry,3.5
Gatorade - Lemon Lime,3.5
Gatorade - Orange ,3.5
Gatorade - Gatorlyte Cherry Lime,4.5
Gatorade - Gatorlyte Orange,4.5
Life Wtr - Bottled Water,3.9
Bubly  - Lime Bubly,2.25
Bubly  - Blackberry Bubly,2.25
Bubly  - Grapefruit/Peach Bubly,2.25
Pepsi - Orginal Pepsi,-1
Pepsi - Diet Pepsi,-1
Schweppes - Gingerale ,-1
Schweppes - Lemon Lime,-1
Dr Pepper - Original Dr Pepper,-1
Dr Pepper - Diet Dr Pepper ,-1
Living juice  - Carrot Kick,-1
Living juice  - Pineapple Punch,-1
Living juice  - Red Radiance ,-1
Sol Ti Shot  - Turmeric shot,4.25
Sol Ti Shot  - Ginger shot,4.25
Sol Ti Shot  - Superboost,4.25
Sol Ti Shot  - Immuniti,4.25
