Item,Price,img_route
Annie's - Bunny Grahams - Honey,7.3,../../assets/images/items/Bowow-Builder-Images/Annie's - Bunny Grahams - Honey.webp
Tate's - Glutten Free Chocolate Chip Cookies,6.7,../../assets/images/items/Bowow-Builder-Images/Tate's - Glutten Free Chocolate Chip Cookies.webp
Michel & Augustin - Cookies Squares - Chocolate and Toasted Hazelnuts,6.95,../../assets/images/items/Bowow-Builder-Images/Michel & Augustin - Cookies Squares - Chocolate and Toasted Hazelnuts.webp
The Bites Company - Biscotti Chocolate Bites (1.25 OZ),3,../../assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Chocolate Bites (1.25 OZ).webp
The Bites Company - Biscotti Lemon Bites (1.25 OZ),3,../../assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Lemon Bites (1.25 OZ).webp
The Bites Company - Biscotti Brown Butter Bites (1.25 OZ),3,../../assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Brown Butter Bites (1.25 OZ).webp
Free 2B - Sunflower Butter Cups - Chocolate,6.75,../../assets/images/items/Bowow-Builder-Images/Free 2B - Sunflower Butter Cups - Chocolate.webp
Free 2B - Sunflower Butter Cups - Dark Chocolate,4.75,../../assets/images/items/Bowow-Builder-Images/Free 2B - Sunflower Butter Cups - Dark Chocolate.webp
Panda - Licorice - Soft Original,4.75,../../assets/images/items/Bowow-Builder-Images/Panda - Licorice - Soft Original.webp
Panda - Licorice - Raspberry,4.75,../../assets/images/items/Bowow-Builder-Images/Panda - Licorice - Raspberry.webp
Darrell Lea - Australian Licorice - Original,4.75,../../assets/images/items/Bowow-Builder-Images/Darrell Lea - Australian Licorice - Original.webp
Darrell Lea - Australian Licorice - Strawberry,4.75,../../assets/images/items/Bowow-Builder-Images/Darrell Lea - Australian Licorice - Strawberry.webp
YumEarth - Glutten Free Gummy Bears,9.5,../../assets/images/items/Bowow-Builder-Images/YumEarth - Glutten Free Gummy Bears.webp
Smart Sweets - Sweet Fish,4,../../assets/images/items/Bowow-Builder-Images/Smart Sweets - Sweet Fish.webp
Smart Sweets - Sourblast Buddies,4,../../assets/images/items/Bowow-Builder-Images/Smart Sweets - Sourblast Buddies.webp
Smart Sweets - Peach Rings,4,../../assets/images/items/Bowow-Builder-Images/Smart Sweets - Peach Rings.webp
Sweet Street - Cinnamon Coffee Cake,2.5,../../assets/images/items/Bowow-Builder-Images/Sweet Street - Cinnamon Coffee Cake.webp
Sweet Street - Salted Carmel Cookie,2.5,../../assets/images/items/Bowow-Builder-Images/Sweet Street - Salted Carmel Cookie.webp
Sweet Street - Chewy Marshmallow,3,../../assets/images/items/Bowow-Builder-Images/Sweet Street - Chewy Marshmallow.webp
McVities - Digestives,5.75,../../assets/images/items/Bowow-Builder-Images/McVities - Digestives.webp
Loacker - Wafers - Vanilla,2,../../assets/images/items/Bowow-Builder-Images/Loacker - Wafers - Vanilla.webp
Loacker - Wafers - Double Chocolate,2,../../assets/images/items/Bowow-Builder-Images/Loacker - Wafers - Double Chocolate.webp
Loacker - Wafers - Chocolate,2,../../assets/images/items/Bowow-Builder-Images/Loacker - Wafers - Chocolate.webp
Equal Exchange - Dark Caramel Crunch,4.2,../../assets/images/items/Bowow-Builder-Images/Equal Exchange - Dark Caramel Crunch.webp
Equal Exchange - Extreme Dark,4.2,../../assets/images/items/Bowow-Builder-Images/Equal Exchange - Extreme Dark.webp
Equal Exchange - Panama Extra Dark,4.2,../../assets/images/items/Bowow-Builder-Images/Equal Exchange - Panama Extra Dark.webp
Equal Exchange - Coconut Milk,4.2,../../assets/images/items/Bowow-Builder-Images/Equal Exchange - Coconut Milk.webp
Chocolove - Chilies & Cherries in Dark Chocolate,5.05,../../assets/images/items/Bowow-Builder-Images/Chocolove - Chilies & Cherries in Dark Chocolate.webp
Chocolove - Toffee & Almond in Milk Chocolate,5.05,../../assets/images/items/Bowow-Builder-Images/Chocolove - Toffee & Almond in Milk Chocolate.webp
Swoffle - French Vanilla,2.8,../../assets/images/items/Bowow-Builder-Images/Swoffle - French Vanilla.webp
Swoffle - Caramel Filled,2.8,../../assets/images/items/Bowow-Builder-Images/Swoffle - Caramel Filled.webp
Swoffle - Dark Chocolate Dipped,2.8,../../assets/images/items/Bowow-Builder-Images/Swoffle - Dark Chocolate Dipped.webp
Unreal - Dark Chocolate Peanut Butter Cups,6.7,../../assets/images/items/Bowow-Builder-Images/Unreal - Dark Chocolate Peanut Butter Cups.webp
Unreal - Dark Chocolate Crispy Quinoa Gems,6.7,../../assets/images/items/Bowow-Builder-Images/Unreal - Dark Chocolate Crispy Quinoa Gems.webp
Sanders - Dark Chocolate Sea Salt Caramels,8,../../assets/images/items/Bowow-Builder-Images/Sanders - Dark Chocolate Sea Salt Caramels.webp
Undercover - Chocolate Quinoa Crisps - Dark Chocolate + Sea Salt,5,../../assets/images/items/Bowow-Builder-Images/Undercover - Chocolate Quinoa Crisps - Dark Chocolate + Sea Salt.webp
Cocomels - Bites - Sea Salt in Dark Chocolate,6.15,../../assets/images/items/Bowow-Builder-Images/Cocomels - Bites - Sea Salt in Dark Chocolate.webp
Cocomels - Coconut Milk Caramels - Sea Salt,6.15,../../assets/images/items/Bowow-Builder-Images/Cocomels - Coconut Milk Caramels - Sea Salt.webp
Halo - Ice Cream,8.95,../../assets/images/items/Bowow-Builder-Images/Halo - Ice Cream.webp
Quinn - Peanut Butter Filled Nuggets,-1,../../assets/images/items/Bowow-Builder-Images/Quinn - Peanut Butter Filled Nuggets.webp
Flax4Life - Chocolate Brownies,-1,../../assets/images/items/Bowow-Builder-Images/Flax4Life - Chocolate Brownies.webp
Bakerly - French Pancakes To Go,6,../../assets/images/items/Bowow-Builder-Images/Bakerly - French Pancakes To Go.webp
Yale - Avocado Roll,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Avocado Roll.webp
Yale - Vegtable Combo 10pc (brown rice) roll,7.99,../../assets/images/items/Bowow-Builder-Images/Yale - Vegtable Combo 10pc (brown rice) roll.webp
Yale - Cruncy California (white rice) roll,8.49,../../assets/images/items/Bowow-Builder-Images/Yale - Cruncy California (white rice) roll.webp
Yale - Spicy Shrimp roll,8.49,../../assets/images/items/Bowow-Builder-Images/Yale - Spicy Shrimp roll.webp
Yale - Spicy California roll (10pc),7.49,../../assets/images/items/Bowow-Builder-Images/Yale - Spicy California roll (10pc).webp
Yale - California roll,6.99,../../assets/images/items/Bowow-Builder-Images/Yale - California roll.webp
Yale - Shrimp Tempura Roll,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Shrimp Tempura Roll.webp
Yale - Crunchy Shrimp Tempura Roll,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Crunchy Shrimp Tempura Roll.webp
Yale - Red Rock Roll,10.49,../../assets/images/items/Bowow-Builder-Images/Yale - Red Rock Roll.webp
Yale - Dragon Roll,8.99,../../assets/images/items/Bowow-Builder-Images/Yale - Dragon Roll.webp
Yale - Spicy Shrimp roll,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Spicy Shrimp roll.webp
Yale - Nigiri,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Nigiri.webp
Yale - Rainbow Roll,11.99,../../assets/images/items/Bowow-Builder-Images/Yale - Rainbow Roll.webp
Yale - Spicy Tuna Roll (10 pc) (brown rice),8.99,../../assets/images/items/Bowow-Builder-Images/Yale - Spicy Tuna Roll (10 pc) (brown rice).webp
Yale - Spicy Salmon Roll,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Spicy Salmon Roll.webp
Yale - Chef Sampler A,13.99,../../assets/images/items/Bowow-Builder-Images/Yale - Chef Sampler A.webp
Yale - Salmon Avocado Roll (10 pc) (brown rice),8.99,../../assets/images/items/Bowow-Builder-Images/Yale - Salmon Avocado Roll (10 pc) (brown rice).webp
"Yale - Poke bowl - salmon, tuna",11.99,"../../assets/images/items/Bowow-Builder-Images/Yale - Poke bowl - salmon, tuna.webp"
Sanukiya - Udon,-1,../../assets/images/items/Bowow-Builder-Images/Sanukiya - Udon.webp
Amy's Soup - Golden Lentil,5.25,../../assets/images/items/Bowow-Builder-Images/Amy's Soup - Golden Lentil.webp
Amy's Soup - Cream of Tomato,5.25,../../assets/images/items/Bowow-Builder-Images/Amy's Soup - Cream of Tomato.webp
Amy's Soup - Fresh Country Vegtable,5.25,../../assets/images/items/Bowow-Builder-Images/Amy's Soup - Fresh Country Vegtable.webp
Amy's Soup - Black bean vegtable,5.25,../../assets/images/items/Bowow-Builder-Images/Amy's Soup - Black bean vegtable.webp
Amy's Soup - Minestrone,5.25,../../assets/images/items/Bowow-Builder-Images/Amy's Soup - Minestrone.webp
Mike's Might Good - Beef Ramen,-1,../../assets/images/items/Bowow-Builder-Images/Mike's Might Good - Beef Ramen.webp
Yale - Turkey Rango,8.5,../../assets/images/items/Bowow-Builder-Images/Yale - Turkey Rango.webp
Yale - Herbed Tuna Salad Sandwich,7.5,../../assets/images/items/Bowow-Builder-Images/Yale - Herbed Tuna Salad Sandwich.webp
Yale - Turkey and Cheddar on Multigrain,7.5,../../assets/images/items/Bowow-Builder-Images/Yale - Turkey and Cheddar on Multigrain.webp
Yale - Chicken Caprese,7.5,../../assets/images/items/Bowow-Builder-Images/Yale - Chicken Caprese.webp
Yale - Roast Beef Onion Dip Sandwich,7.5,../../assets/images/items/Bowow-Builder-Images/Yale - Roast Beef Onion Dip Sandwich.webp
Yale - Peanut Butter & Jelly Sandwich on Multigrain,5.5,../../assets/images/items/Bowow-Builder-Images/Yale - Peanut Butter & Jelly Sandwich on Multigrain.webp
Yale - Buffalo Cauliflower Wrap,7.5,../../assets/images/items/Bowow-Builder-Images/Yale - Buffalo Cauliflower Wrap.webp
Yale - Ratatouille Wrap,7.5,../../assets/images/items/Bowow-Builder-Images/Yale - Ratatouille Wrap.webp
The Good Crisp Company - Classic Original-- Small,2.5,../../assets/images/items/Bowow-Builder-Images/The Good Crisp Company - Classic Original-- Small.webp
The Good Crisp Company - Classic Original-- Large,5,../../assets/images/items/Bowow-Builder-Images/The Good Crisp Company - Classic Original-- Large.webp
The Good Crisp Company - Sour Cream & Onion -- Small,2.5,../../assets/images/items/Bowow-Builder-Images/The Good Crisp Company - Sour Cream & Onion -- Small.webp
The Good Crisp Company - Sour Cream & Onion -- Large,5,../../assets/images/items/Bowow-Builder-Images/The Good Crisp Company - Sour Cream & Onion -- Large.webp
Harvest Snaps - Baked Green pea Snacks,4.40,../../assets/images/items/Bowow-Builder-Images/Harvest Snaps - Baked Green pea Snacks.webp
Quinn - Sea Salt pretzel Sticks,-1,../../assets/images/items/Bowow-Builder-Images/Quinn - Sea Salt pretzel Sticks.webp
Quinn - Creaming Peanut Butter filled pretzel nuggets,-1,../../assets/images/items/Bowow-Builder-Images/Quinn - Creaming Peanut Butter filled pretzel nuggets.webp
Good Health - Peanut butter filled pretzels,-1,../../assets/images/items/Bowow-Builder-Images/Good Health - Peanut butter filled pretzels.webp
Terra - Sweet Potato Chips,-1,../../assets/images/items/Bowow-Builder-Images/Terra - Sweet Potato Chips.webp
Back to nature - Classic Round,-1,../../assets/images/items/Bowow-Builder-Images/Back to nature - Classic Round.webp
Back to nature - Multigrain,-1,../../assets/images/items/Bowow-Builder-Images/Back to nature - Multigrain.webp
